"","papers","ifact","years"
"824",4.4,9.2,4.54545454545454
"825",4.4,9.4,4.54545454545454
"826",4.4,9.6,4.54545454545454
"827",4.4,9.8,4.54545454545454
"828",4.4,10,4.54545454545454
"829",4.6,1,5.43478260869565
"830",4.6,1.2,5.43478260869565
"831",4.6,1.4,5.43478260869565
"832",4.6,1.6,5.43478260869565
"833",4.6,1.8,5.43478260869565
"834",4.6,2,5.43478260869565
"835",4.6,2.2,5.43478260869565
"836",4.6,2.4,5.43478260869565
"837",4.6,2.6,5.43478260869565
"838",4.6,2.8,5.43478260869565
"839",4.6,3,5.43478260869565
"840",4.6,3.2,5.43478260869565
"841",4.6,3.4,5.43478260869565
"842",4.6,3.6,5.43478260869565
"843",4.6,3.8,5.43478260869565
"844",4.6,4,5.43478260869565
"845",4.6,4.2,5.43478260869565
"846",4.6,4.4,5.43478260869565
"847",4.6,4.6,5.43478260869565
"848",4.6,4.8,5.43478260869565
"849",4.6,5,5.43478260869565
"850",4.6,5.2,5.43478260869565
"851",4.6,5.4,5.43478260869565
"852",4.6,5.6,5.43478260869565
"853",4.6,5.8,5.43478260869565
"854",4.6,6,5.43478260869565
"855",4.6,6.2,5.43478260869565
"856",4.6,6.4,5.43478260869565
"857",4.6,6.6,5.43478260869565
"858",4.6,6.8,5.43478260869565
"859",4.6,7,4.34782608695652
"860",4.6,7.2,4.34782608695652
"861",4.6,7.4,4.34782608695652
"862",4.6,7.6,4.34782608695652
"863",4.6,7.8,4.34782608695652
"864",4.6,8,4.34782608695652
"865",4.6,8.2,4.34782608695652
"866",4.6,8.4,4.34782608695652
"867",4.6,8.6,4.34782608695652
